Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,Y,81.0,61.0,69.55,73.0,51.0,62.0,0.0,0.08,SW,16.0,7.0,Fair,1
Uncrewed,N,82.0,0.0,67.52,73.0,51.0,62.0,0.0,0.09,W,14.0,7.0,Cloudy,0
Uncrewed,N,79.0,61.0,68.91,73.0,51.0,62.0,0.12,0.08,NE,12.0,7.0,Rain,0
Uncrewed,N,85.0,0.0,49.63,89.0,73.0,81.0,0.0,0.27,SE,20.0,7.0,Cloudy,0
Uncrewed,N,85.0,0.0,67.2,89.0,73.0,81.0,0.0,0.25,S,14.0,10.0,Cloudy,0
Uncrewed,Y,88.0,0.0,77.54,89.0,73.0,81.0,0.0,0.23,SE,15.0,80.0,Cloudy,1
Uncrewed,N,89.0,0.0,48.09,89.0,73.0,81.0,0.0,0.24,SE,21.0,10.0,Cloudy,0
Uncrewed,N,94.0,77.0,83.54,89.0,73.0,81.0,0.0,0.24,SE,15.0,10.0,Partly Cloudy,0
Uncrewed,N,94.0,0.0,76.36,91.0,73.0,82.0,0.0,0.24,SW,14.0,10.0,Partly Cloudy,0
Uncrewed,N,95.0,76.0,84.54,90.0,73.0,82.0,0.0,0.26,W,21.0,15.0,Cloudy,0
Uncrewed,Y,91.0,0.0,74.48,90.0,73.0,82.0,0.0,0.24,W,14.0,10.0,Cloudy,1
Uncrewed,N,91.0,0.0,75.25,90.0,73.0,82.0,0.0,0.24,SW,15.0,10.0,Cloudy,0
Uncrewed,N,88.0,0.0,76.14,90.0,73.0,82.0,0.0,0.25,W,20.0,10.0,Cloudy,0
Uncrewed,N,78.0,0.0,54.72,75.0,53.0,64.0,0.0,0.11,W,16.0,10.0,Cloudy,0
Uncrewed,N,65.0,0.0,56.08,75.0,53.0,64.0,0.06,0.1,N,17.0,7.0,Rain,0
Uncrewed,Y,70.0,49.0,58.13,75.0,54.0,64.0,0.0,0.1,N,14.0,10.0,Partly Cloudy,1
Uncrewed,N,77.0,52.0,67.45,75.0,54.0,64.0,0.0,0.1,E,14.0,10.0,Partly Cloudy,0
Uncrewed,N,90.0,68.0,76.13,75.0,54.0,65.0,0.1,0.1,S,16.0,10.0,Rain,0
Uncrewed,N,78.0,56.0,68.54,79.0,58.0,69.0,0.0,0.08,NE,15.0,20.0,Fair,0
Uncrewed,N,79.0,69.0,73.75,79.0,58.0,69.0,0.0,0.08,SE,20.0,15.0,Fair,0
Uncrewed,Y,80.0,71.0,75.13,79.0,58.0,69.0,0.0,0.08,SE,18.0,15.0,Partly Cloudy,1
Uncrewed,N,83.0,73.0,77.26,80.0,58.0,69.0,0.13,0.08,S,18.0,15.0,Cloudy,0
Uncrewed,N,84.0,77.0,79.23,80.0,59.0,69.0,0.05,0.08,SE,19.0,15.0,Cloudy,0
Uncrewed,N,69.0,52.0,60.04,73.0,50.0,62.0,0.0,0.1,W,24.0,20.0,Thunder,0
Uncrewed,N,61.0,45.0,52.46,73.0,50.0,62.0,0.0,0.09,NW,16.0,20.0,Cloudy,0
Uncrewed,Y,71.0,0.0,49.66,73.0,51.0,62.0,0.0,0.09,E,12.0,15.0,Cloudy,1
Uncrewed,N,65.0,0.0,50.86,73.0,51.0,62.0,0.0,0.08,NW,23.0,20.0,Cloudy,0
Uncrewed,N,60.0,44.0,50.96,73.0,51.0,62.0,0.0,0.09,N,12.0,20.0,Fair,0
Uncrewed,N,80.0,58.0,71.38,83.0,64.0,74.0,0.0,0.06,SE,16.0,10.0,Fair,0
Uncrewed,N,82.0,65.0,75.58,84.0,64.0,74.0,0.0,0.06,S,17.0,10.0,Fair,0
Uncrewed,Y,81.0,66.0,75.17,84.0,64.0,74.0,0.0,0.07,E,14.0,10.0,Partly Cloudy,1
Uncrewed,N,82.0,67.0,75.3,84.0,64.0,74.0,0.0,0.06,E,15.0,10.0,Partly Cloudy,0
Uncrewed,N,81.0,0.0,50.49,84.0,65.0,74.0,0.04,0.08,N,13.0,10.0,Cloudy,0
Uncrewed,N,91.0,76.0,81.13,91.0,73.0,82.0,0.1,0.21,S,15.0,20.0,T-Storm,0
Uncrewed,N,89.0,0.0,65.72,91.0,73.0,82.0,1.8,0.21,S,16.0,20.0,Rain,0
Uncrewed,Y,89.0,0.0,77.4,91.0,73.0,82.0,0.0,0.24,SE,21.0,15.0,Partly Cloudy,1
Uncrewed,N,88.0,0.0,68.44,91.0,73.0,82.0,0.4,0.24,W,16.0,10.0,Cloudy,0
Uncrewed,N,90.0,76.0,82.35,91.0,73.0,82.0,0.0,0.23,SW,20.0,10.0,Partly Cloudy,0
Uncrewed,N,81.0,0.0,72.46,86.0,70.0,78.0,0.0,0.2,E,18.0,15.0,Cloudy,0
